address_id,house_number,street,zip_code,city,state
813917053,97103,Brickson Park,25709,Huntington,WV
925891398,185,Waywood,33196,Miami,FL
769546870,3562,Ridgeway,95155,San Jose,CA
918763597,8756,Memorial,48335,Farmington,MI
621264954,913,Ridgeway,49018,Battle Creek,MI
793287203,152,Eliot,37931,Knoxville,TN
498590820,2187,Daystar,84130,Salt Lake City,UT
916993800,0,Gale,91103,Pasadena,CA
741508358,463,Mayfield,71213,Monroe,LA
646026625,581,Monica,68124,Omaha,NE
278796883,5650,Golf View,89150,Las Vegas,NV
347008447,9664,Schlimgen,45403,Dayton,OH
663128867,4,Carioca,34745,Kissimmee,FL
868248555,2,Donald,94132,San Francisco,CA
985136981,52,Sunnyside,94110,San Francisco,CA
125863569,46989,Susan,8104,Camden,NJ
523719016,8,Sage,33448,Delray Beach,FL
846221480,48,Bultman,10155,New York City,NY
644893209,53836,Rigney,49006,Kalamazoo,MI
981737993,8,Hollow Ridge,30336,Atlanta,GA
645044125,752,Crowley,88569,El Paso,TX
432426794,16191,Sunnyside,70179,New Orleans,LA
208825744,1537,Laurel,78726,Austin,TX
682271199,1,Northridge,70826,Baton Rouge,LA
614954588,632,Blue Bill Park,36134,Montgomery,AL
146016438,611,Rigney,31998,Columbus,GA
913186330,96155,Westport,30386,Atlanta,GA
450054602,1566,Redwing,75507,Texarkana,TX
839559978,6361,Sachtjen,45249,Cincinnati,OH
513923848,982,Fisk,31119,Atlanta,GA
367946147,13,Debra,48956,Lansing,MI
317481172,1075,Gulseth,25356,Charleston,WV
209034431,35090,Twin Pines,20719,Bowie,MD
446561387,77,Bashford,30905,Augusta,GA
154253034,31,Mitchell,89155,Las Vegas,NV
320000112,85,Commercial,70607,Lake Charles,LA
343272830,5272,Colorado,90505,Torrance,CA
207884107,51,5th,72231,Little Rock,AR
210078934,936,Quincy,32808,Orlando,FL
848903608,77560,Killdeer,73197,Oklahoma City,OK
156518253,87,Basil,95813,Sacramento,CA
493549887,73,Continental,89036,North Las Vegas,NV
195031302,12,Tennessee,84115,Salt Lake City,UT
480956691,1,Crownhardt,68134,Omaha,NE
672481819,397,Darwin,27415,Greensboro,NC
269355957,8695,Rieder,45426,Dayton,OH
462684687,41,Mosinee,94159,San Francisco,CA
561337472,7,Drewry,1129,Springfield,MA
195114074,1944,Mariners Cove,97240,Portland,OR
790102904,51622,Petterle,79989,El Paso,TX
151458877,2,Basil,60505,Aurora,IL
440555850,34,Sachtjen,85010,Phoenix,AZ
640601978,4,Ilene,30033,Decatur,GA
927170651,71113,Myrtle,29615,Greenville,SC
464113866,530,3rd,60567,Naperville,IL
800436489,7,Lyons,55114,Saint Paul,MN
169310926,911,Autumn Leaf,22405,Fredericksburg,VA
128640211,8690,Gulseth,71115,Shreveport,LA
293109855,793,Talisman,89105,Las Vegas,NV
481153847,19,Almo,29625,Anderson,SC
587948265,3817,Park Meadow,75265,Dallas,TX
377119678,16628,Montana,88519,El Paso,TX
767103993,61241,Harper,17105,Harrisburg,PA
280253962,4431,David,60351,Carol Stream,IL
146695595,228,Badeau,54305,Green Bay,WI
504182528,8231,Little Fleur,88574,El Paso,TX
763716583,34464,Northview,79182,Amarillo,TX
759172237,88154,Brickson Park,27264,High Point,NC
181542661,77554,Monument,80045,Aurora,CO
659452068,77,Morrow,34629,Clearwater,FL
125944919,0,5th,73167,Oklahoma City,OK
107293030,5,Welch,75372,Dallas,TX
593700231,17,Graedel,78265,San Antonio,TX
624457713,6926,Vera,10160,New York City,NY
848360295,967,Gateway,30311,Atlanta,GA
258032139,6,Debs,23260,Richmond,VA
721955880,2076,Shopko,11225,Brooklyn,NY
865619481,65884,Londonderry,32118,Daytona Beach,FL
853623164,74916,Schlimgen,48956,Lansing,MI
425675782,4,International,94164,San Francisco,CA
874339428,2177,Bellgrove,77040,Houston,TX
291631403,6451,Marcy,94975,Petaluma,CA
721008498,6722,Golf,18018,Bethlehem,PA
413589381,939,Melrose,33467,Lake Worth,FL
614567980,496,Barby,2142,Cambridge,MA
791907857,1,Knutson,61651,Peoria,IL
975635232,50490,Schurz,30386,Atlanta,GA
476348387,4722,Glendale,89714,Carson City,NV
